"id","A","B","C","D"
"1",7.5,5.25,1,1.25
"2",7.5,5.25,1,1.5
"3",7.5,5.25,1,0.5
"4",7.5,5.25,1,1
"5",7.5,5.25,1,1.5
"6",22.5,5.25,1,1.5
"7",22.5,5.25,1,0.75
"8",22.5,5.25,1,0.25
"9",22.5,5.25,1,1
"10",22.5,5.25,1,1.25
"11",37.5,5.25,1,2.25
"12",37.5,5.25,1,1.75
"13",37.5,5.25,1,1.25
"14",37.5,5.25,1,1.75
"15",37.5,5.25,1,1
"16",7.5,5.25,1,1
"17",7.5,5.25,1,1
"18",7.5,5.25,1,1.25
"19",7.5,5.25,1,0.75
"20",7.5,5.25,1,1
"21",7.5,5.25,1,1
"22",7.5,5.25,1,0.5
"23",7.5,5.25,1,1.25
"24",7.5,5.25,1,0.75
"25",7.5,5.25,1,1
"26",22.5,5.25,1,1.75
"27",22.5,5.25,1,2
"28",22.5,5.25,1,1.25
"29",22.5,5.25,1,1.25
"30",22.5,5.25,1,0.7
"31",22.5,5.25,1,1.25
"32",22.5,5.25,1,0.75
"33",22.5,5.25,1,1.5
"34",22.5,5.25,1,1.25
"35",22.5,5.25,1,1.25
"36",37.5,5.25,1,1
"37",37.5,5.25,1,1
"38",37.5,5.25,1,1
"39",37.5,5.25,1,0.5
"40",37.5,5.25,1,1.75
"41",37.5,5.25,1,1.25
"42",37.5,5.25,1,1.25
"43",37.5,5.25,1,1.75
"44",37.5,5.25,1,1.75
"45",37.5,5.25,1,1.75
"46",7.5,5.25,1,1
"47",37.5,5.25,1,1
"48",7.5,5.25,1,1.5
"49",37.5,5.25,1,1
"50",7.5,5.25,1,0.75
"51",37.5,5.25,1,1.5
"52",7.5,5.25,1,0.5
"53",37.5,5.25,1,0.75
"54",7.5,5.25,1,0.75
"55",37.5,5.25,1,1
"56",7.5,6.75,1,1.75
"57",7.5,6.75,1,1.75
"58",7.5,6.75,1,1.5
"59",7.5,6.75,1,1.25
"60",7.5,6.75,1,2.5
"61",22.5,6.75,1,1.25
"62",22.5,6.75,1,1
"63",22.5,6.75,1,1.25
"64",22.5,6.75,1,1.25
"65",22.5,6.75,1,1
"66",37.5,6.75,1,1.25
"67",37.5,6.75,1,0.75
"68",37.5,6.75,1,1.25
"69",37.5,6.75,1,1
"70",37.5,6.75,1,1
"71",7.5,6.75,1,1
"72",7.5,6.75,1,1.5
"73",7.5,6.75,1,1
"74",7.5,6.75,1,1.5
"75",7.5,6.75,1,1
"76",7.5,6.75,1,1.5
"77",7.5,6.75,1,1.25
"78",7.5,6.75,1,1.25
"79",7.5,6.75,1,1
"80",7.5,6.75,1,1.25
"81",22.5,6.75,1,0.75
"82",22.5,6.75,1,1.25
"83",22.5,6.75,1,0.75
"84",22.5,6.75,1,0.75
"85",22.5,6.75,1,1.5
"86",22.5,6.75,1,0.5
"87",22.5,6.75,1,0.75
"88",22.5,6.75,1,1.25
"89",22.5,6.75,1,1
"90",22.5,6.75,1,0.75
"91",37.5,6.75,1,1.25
"92",37.5,6.75,1,1.25
"93",37.5,6.75,1,1.25
"94",37.5,6.75,1,1.5
"95",37.5,6.75,1,1.25
"96",37.5,6.75,1,1
"97",37.5,6.75,1,1
"98",37.5,6.75,1,1
"99",37.5,6.75,1,1.25
"100",37.5,6.75,1,1
"101",7.5,6.75,1,1.25
"102",37.5,6.75,1,1.5
"103",7.5,6.75,1,1.1
"104",37.5,6.75,1,1.5
"105",7.5,6.75,1,1.25
"106",37.5,6.75,1,0.75
"107",7.5,6.75,1,1.25
"108",37.5,6.75,1,1
"109",7.5,6.75,1,1
"110",37.5,6.75,1,1.5
"1",7.5,5.25,2,1.25
"2",7.5,5.25,2,1.5
"3",7.5,5.25,2,0.5
"4",7.5,5.25,2,1
"5",7.5,5.25,2,1.5
"6",22.5,5.25,2,1.5
"7",22.5,5.25,2,0.75
"8",22.5,5.25,2,0.25
"9",22.5,5.25,2,1
"10",22.5,5.25,2,1.25
"11",37.5,5.25,2,2.25
"12",37.5,5.25,2,1.75
"13",37.5,5.25,2,1.25
"14",37.5,5.25,2,1.75
"15",37.5,5.25,2,1
"16",7.5,5.25,2,1
"17",7.5,5.25,2,1
"18",7.5,5.25,2,1.25
"19",7.5,5.25,2,0.75
"20",7.5,5.25,2,1
"21",7.5,5.25,2,1
"22",7.5,5.25,2,0.5
"23",7.5,5.25,2,1.25
"24",7.5,5.25,2,0.75
"25",7.5,5.25,2,1
"26",22.5,5.25,2,1.75
"27",22.5,5.25,2,2
"28",22.5,5.25,2,1.25
"29",22.5,5.25,2,1.25
"30",22.5,5.25,2,0.7
"31",22.5,5.25,2,1.25
"32",22.5,5.25,2,0.75
"33",22.5,5.25,2,1.5
"34",22.5,5.25,2,1.25
"35",22.5,5.25,2,1.25
"36",37.5,5.25,2,1
"37",37.5,5.25,2,1
"38",37.5,5.25,2,1
"39",37.5,5.25,2,0.5
"40",37.5,5.25,2,1.75
"41",37.5,5.25,2,1.25
"42",37.5,5.25,2,1.25
"43",37.5,5.25,2,1.75
"44",37.5,5.25,2,1.75
"45",37.5,5.25,2,1.75
"46",7.5,5.25,2,1
"47",37.5,5.25,2,1
"48",7.5,5.25,2,1.5
"49",37.5,5.25,2,1
"50",7.5,5.25,2,0.75
"51",37.5,5.25,2,1.5
"52",7.5,5.25,2,0.5
"53",37.5,5.25,2,0.75
"54",7.5,5.25,2,0.75
"55",37.5,5.25,2,1
"56",7.5,6.75,2,1.75
"57",7.5,6.75,2,1.75
"58",7.5,6.75,2,1.5
"59",7.5,6.75,2,1.25
"60",7.5,6.75,2,2.5
"61",22.5,6.75,2,1.25
"62",22.5,6.75,2,1
"63",22.5,6.75,2,1.25
"64",22.5,6.75,2,1.25
"65",22.5,6.75,2,1
"66",37.5,6.75,2,1.25
"67",37.5,6.75,2,0.75
"68",37.5,6.75,2,1.25
"69",37.5,6.75,2,1
"70",37.5,6.75,2,1
"71",7.5,6.75,2,1
"72",7.5,6.75,2,1.5
"73",7.5,6.75,2,1
"74",7.5,6.75,2,1.5
"75",7.5,6.75,2,1
"76",7.5,6.75,2,1.5
"77",7.5,6.75,2,1.25
"78",7.5,6.75,2,1.25
"79",7.5,6.75,2,1
"80",7.5,6.75,2,1.25
"81",22.5,6.75,2,0.75
"82",22.5,6.75,2,1.25
"83",22.5,6.75,2,0.75
"84",22.5,6.75,2,0.75
"85",22.5,6.75,2,1.5
"86",22.5,6.75,2,0.5
"87",22.5,6.75,2,0.75
"88",22.5,6.75,2,1.25
"89",22.5,6.75,2,1
"90",22.5,6.75,2,0.75
"91",37.5,6.75,2,1.25
"92",37.5,6.75,2,1.25
"93",37.5,6.75,2,1.25
"94",37.5,6.75,2,1.5
"95",37.5,6.75,2,1.25
"96",37.5,6.75,2,1
"97",37.5,6.75,2,1
"98",37.5,6.75,2,1
"99",37.5,6.75,2,1.25
"100",37.5,6.75,2,1
"101",7.5,6.75,2,1.25
"102",37.5,6.75,2,1.5
"103",7.5,6.75,2,1.1
"104",37.5,6.75,2,1.5
"105",7.5,6.75,2,1.25
